,Horizon,Sand,Silt,Clay,Organic.Carbon,Bulk.Density,CEC.Soil,CEC.Clay,Base.Saturation,pH,Order
34701,B,13.5,67.2,19.3,0.14,1.64,15.8,0.82,69,4.9,Alfisols
34703,B,46.2,42.2,11.6,0.04,1.82,12,1.03,86,5.9,Alfisols
34881,B,4.5,26.3,69.2,1.14,1.51,30.1,0.43,55,5.5,Alfisols
34882,B,3.7,20.4,75.9,0.83,1.73,39.2,0.52,78,6.4,Alfisols
34883,B,7.5,24.5,68,0.48,1.63,34.4,0.51,89,7.2,Alfisols
34884,B,10.9,44.2,44.9,0.48,1.6,20.1,0.45,100,8,Alfisols
34885,B,14.4,69.7,15.9,0.76,1.45,10.5,0.66,52,6.6,Alfisols
34886,B,13.9,56.4,29.7,0.3,1.56,17.6,0.59,70,6.5,Alfisols
34887,B,10.1,56.2,33.7,0.27,1.48,20.3,0.6,72,6.4,Alfisols
34888,B,9,58.7,32.3,0.16,1.45,17.5,0.54,100,7.5,Alfisols
34935,B,27.9,42.4,29.7,0.45,1.75,20.2,0.68,64,5.2,Alfisols
34936,B,30.7,42.3,27,0.33,1.62,19.6,0.73,64,5.2,Alfisols
34937,B,44.3,35,20.7,0.25,1.6,15.9,0.77,66,5.4,Alfisols
34938,B,26,45,29,0.53,1.71,19.5,0.67,69,5.5,Alfisols
34939,B,37.9,36.9,25.2,0.33,1.5,18.1,0.72,68,5.5,Alfisols
34940,B,50.7,28.9,20.4,0.24,1.58,15.5,0.76,69,5.6,Alfisols
34941,B,47.5,32.9,19.6,0.24,1.56,14.9,0.76,70,5.6,Alfisols
34942,B,21.5,54.5,24,0.21,1.52,18.1,0.75,72,5.4,Alfisols
34943,B,10.1,55.7,34.2,0.25,1.8,23.6,0.69,74,5.4,Alfisols
34945,B,0.9,67.9,31.2,0.23,1.6,12.7,0.41,34,4.9,Alfisols
34946,B,0.9,75.4,23.7,0.13,1.58,10.9,0.46,36,5,Alfisols
34948,B,2.1,80,17.9,0.06,1.61,9,0.5,37,5,Alfisols
34964,B,22.3,59.3,18.4,0.29,1.64,6.9,0.38,53,5.5,Alfisols
34965,B,16.4,49.5,34.1,0.22,1.64,13.3,0.39,64,5.5,Alfisols
34966,B,21.4,45.9,32.7,0.2,1.65,12.9,0.39,61,5.2,Alfisols
34967,B,33.7,38.4,27.9,0.12,1.68,10.5,0.38,54,5.1,Alfisols
34968,B,50.8,28.8,20.4,0.08,1.7,8.3,0.41,56,5.1,Alfisols
34969,B,61,23.9,15.1,0.08,1.69,7,0.46,57,5.2,Alfisols
34984,B,3.1,76.3,20.6,0.52,1.44,8.3,0.4,28,5,Alfisols
34985,B,2.6,71.7,25.7,0.28,1.36,9.6,0.37,23,4.7,Alfisols
34986,B,4.2,73.8,22,0.16,1.37,10.4,0.47,22,5,Alfisols
34987,B,3.3,72.1,24.6,0.11,1.66,13.6,0.55,37,4.8,Alfisols
34988,B,2.8,71.5,25.7,0.1,1.6,14.8,0.58,47,4.6,Alfisols
34989,B,4.6,71.5,23.9,0.09,1.58,14.6,0.61,66,5.1,Alfisols
34990,B,8.5,68.9,22.6,0.11,1.61,13.2,0.58,81,6.9,Alfisols
34991,B,16.2,61.7,22.1,0.11,1.66,12.3,0.56,87,7.8,Alfisols
34992,B,2.1,74.8,23.1,0.15,1.56,9.5,0.41,27,4.9,Alfisols
34993,B,2.4,70,27.6,0.08,1.5,13.5,0.49,24,5.1,Alfisols
34994,B,2.4,73.6,24,0.09,1.44,12.6,0.53,24,5.1,Alfisols
34995,B,2.3,78.1,19.6,0.08,1.43,11.6,0.59,23,5,Alfisols
34996,B,1.5,75.6,22.9,0.07,1.58,13.9,0.61,43,4.7,Alfisols
34997,B,1.5,76.3,22.2,0.04,1.54,14.8,0.67,52,4.6,Alfisols
34998,B,1.6,75.6,22.8,0.08,1.53,15.2,0.67,61,4.8,Alfisols
34999,B,1.8,76.5,21.7,0.07,1.55,14.2,0.65,69,5.2,Alfisols
35000,B,2.6,78,19.4,0.24,1.52,7.9,0.41,33,5.2,Alfisols
35001,B,2.6,72.6,24.8,0.16,1.44,10.9,0.44,28,5.1,Alfisols
35002,B,3.8,76.4,19.8,0.07,1.48,11.4,0.58,24,5.1,Alfisols
35003,B,1.8,71.8,26.4,0.11,1.62,15.4,0.58,35,4.7,Alfisols
35004,B,1.4,74.6,24,0.05,1.6,15.9,0.66,47,4.7,Alfisols
35005,B,2.1,74.8,23.1,0.07,1.51,17.4,0.75,58,4.8,Alfisols
35006,B,4.3,73.9,21.8,0.05,1.58,16.1,0.74,73,5.2,Alfisols
35007,B,8,70.4,21.6,0.04,1.64,15.8,0.73,82,6.2,Alfisols
35125,B,3.6,75.3,21.1,0.28,1.48,10.1,0.48,30,4.7,Alfisols
35126,B,3.1,73.3,23.6,0.25,1.47,13,0.55,30,4.6,Alfisols
35127,B,2.7,70.9,26.4,0.23,1.58,15.3,0.58,34,4.5,Alfisols
35128,B,1.6,59.4,39,0.21,1.65,24.2,0.62,42,4.3,Alfisols
35129,B,2.9,70.9,26.2,0.14,1.61,18.1,0.69,45,4.6,Alfisols
35130,B,7.6,68.9,23.5,0.15,1.61,16.2,0.69,48,4.6,Alfisols
35131,B,30.8,52.4,16.8,0.09,1.72,11.4,0.68,53,4.8,Alfisols
35156,B,1.5,46,52.5,0.88,1.86,37.5,0.71,67,5.1,Alfisols
35157,B,0.8,42.1,57.1,0.73,1.96,41,0.72,74,5.1,Alfisols
35159,B,0.9,54.2,44.9,0.32,1.93,33.9,0.76,83,5.6,Alfisols
35160,B,0.9,61.1,38,0.12,1.83,29.9,0.79,85,6.1,Alfisols
35162,B,1.5,38.9,59.6,1,1.76,40.5,0.68,64,4.8,Alfisols
35164,B,0.5,54,45.5,0.34,1.86,32.7,0.72,79,5.5,Alfisols
35165,B,0.8,60.7,38.5,0.18,1.9,30.8,0.8,81,6,Alfisols
35166,B,1,66.8,32.2,0.18,1.74,28.1,0.87,83,6.4,Alfisols
35168,B,10.4,64.1,25.5,0.16,1.59,17.2,0.67,41,4.4,Alfisols
35169,B,12.7,59.5,27.8,0.19,1.63,19.9,0.72,46,4.4,Alfisols
35171,B,5,61,34,0.24,1.67,23.5,0.69,56,4.8,Alfisols
35172,B,4.5,61.3,34.2,0.52,1.66,24.2,0.71,66,5.2,Alfisols
35175,B,2.4,57,40.6,0.62,1.68,29.5,0.73,82,6.1,Alfisols
35179,B,1.9,57.5,40.6,0.79,1.53,27.4,0.67,54,5,Alfisols
